Scenario,Average Processing Time,Number of Batches,Inter-Arrival Time Mean,Batching Time,Hot Mixing Time,Cold Mixing Time,Extrusion Time,Cooling Time,Inspection Time,Packing Time,Silos,Hot Mixers,Cold Mixers,Extruders,Inspection Stations,Packing Stations
Scenario 1,327.04163112782896,50,5,"(5,10)","(10,20)","(5,10)","(8,12)","(5,10)","(2,5)","(3,7)",2,1,1,2,2,1
Scenario 2,330.9185168064021,60,4,"(4,9)","(9,18)","(4,9)","(7,11)","(4,9)","(2,5)","(3,6)",3,1,1,2,2,1
Scenario 3,159.45119980120776,70,6,"(6,12)","(12,25)","(6,12)","(9,15)","(6,12)","(3,6)","(4,8)",2,2,2,3,3,2
Scenario 4,441.5931317183645,80,5,"(5,10)","(10,20)","(5,10)","(8,12)","(5,10)","(2,5)","(3,7)",1,1,1,1,1,1
Scenario 5,170.72165847937987,100,3,"(4,8)","(8,16)","(4,8)","(7,13)","(4,9)","(1,4)","(2,5)",3,2,2,3,2,2
